,词语,数量
1834,人才,33
1835,精神,33
1836,要来,33
1837,五更,33
1838,娘儿们,33
1839,要到,33
1840,送出,33
1841,痰,33
1842,直到,33
1843,几两,33
1844,亭,33
1845,好人,33
1846,说不出来,33
1847,石头,32
1848,五百,32
1849,而来,32
1850,后事,32
1851,上前,32
1852,怜,32
1853,一片,32
1854,概不,32
1855,赐,32
1856,和平,32
1857,二个,32
1858,临,32
1859,枕,32
1860,象是,32
1861,铁,32
1862,低,32
1863,外边,32
1864,图,32
1865,一次,32
1866,满屋,32
1867,屋内,32
1868,面前,32
1869,背后,32
1870,眼里,32
1871,往里,32
1872,无心,32
1873,早些,32
1874,怄,32
1875,闹起,32
1876,腌,32
1877,坐坐,32
1878,没意思,32
1879,鸡,32
1880,芜,32
1881,擦,32
1882,绮,32
1883,不足,31
1884,谈,31
1885,携,31
1886,善,31
1887,愿,31
1888,封,31
1889,人物,31
1890,案,31
1891,来时,31
1892,兄,31
1893,启,31
1894,一月,31
1895,彼时,31
1896,金银,31
1897,堂,31
1898,送至,31
1899,一带,31
1900,米,31
1901,这种,31
1902,史,31
1903,进城,31
1904,修,31
1905,缎,31
1906,不语,31
1907,梅花,31
1908,油,31
1909,一根,31
1910,摔,31
1911,妇儿,31
1912,而且,31
1913,两处,31
1914,儿媳,31
1915,儿媳妇,31
1916,前来,31
1917,非常,31
1918,写道,31
1919,桂花,31
1920,有别,31
1921,更好,31
1922,哥,31
1923,惊动,31
1924,会儿,31
1925,一手,31
1926,表,31
1927,兴头,31
1928,走开,31
1929,多早晚,31
1930,挪,31
1931,念道,31
1932,荷包,31
1933,打着,31
1934,百两,31
1935,拟,31
1936,讲究,31
1937,头发,31
1938,赶来,31
1939,打算,31
1940,恰好,31
1941,尸,31
1942,十四,30
1943,剩下,30
1944,形,30
1945,答道,30
1946,绝,30
1947,伏,30
1948,偶,30
1949,烦恼,30
1950,随便,30
1951,聚,30
1952,一对,30
1953,回话,30
1954,想不到,30
1955,无不,30
1956,不少,30
1957,山石,30
1958,八九,30
1959,不容,30
1960,可笑,30
1961,有所,30
1962,不忍,30
1963,打起,30
1964,打扮,30
1965,叶,30
1966,下面,30
1967,插,30
1968,心想,30
1969,有时,30
1970,辜负,30
1971,着实,30
1972,细想,30
1973,早知,30
1974,些个,30
1975,寿,30
1976,一枝,30
1977,往后,30
1978,终久,30
1979,结,30
1980,沁,30
1981,大娘,30
1982,这病,30
1983,站住,30
1984,凉,30
1985,点点头,30
1986,张罗,30
1987,害,30
1988,一同,30
1989,看去,30
1990,赔,30
1991,砸,30
1992,可别,30
1993,摸,30
1994,一出,30
1995,得住,30
1996,暗暗,30
1997,一直,30
1998,吹,30
1999,盆,30
2000,桃花,30
2001,明知,30
2002,两只,30
2003,平儿忙,30
2004,箱子,30
2005,快快,30
2006,王善保,30
2007,知县,30
2008,小人,29
2009,费,29
2010,度,29
2011,清楚,29
2012,正值,29
2013,天上,29
2014,不枉,29
2015,中去,29
2016,见面,29
2017,扎挣,29
2018,孙女儿,29
2019,一本,29
2020,禄,29
2021,支,29
2022,宁国,29
2023,肉,29
2024,男,29
2025,难得,29
2026,不明,29
2027,一等,29
2028,人儿,29
2029,挨,29
2030,笼,29
2031,主,29
2032,退,29
2033,姑爷,29
2034,墙,29
2035,当是,29
2036,铺,29
2037,管家,29
2038,东府里,29
2039,宝丫头,29
2040,趁着,29
2041,问宝玉,29
2042,良心,29
2043,想想,29
2044,子儿,29
2045,可见,29
2046,肚子,29
2047,多着,29
2048,理论,29
2049,西来,29
2050,玩意,29
2051,熬,29
2052,流下,29
2053,几件,29
2054,蒋,29
2055,昔,29
2056,吵嚷,29
2057,按着,29
2058,不止,29
2059,吐,29
2060,铰,29
2061,李婶娘,29
2062,保家,29
2063,护,28
2064,一并,28
2065,半晌,28
2066,梅,28
2067,娇,28
2068,有意,28
2069,因而,28
2070,二年,28
2071,现成,28
2072,一味,28
2073,疯,28
2074,弄出,28
2075,得意,28
2076,眼前,28
2077,及至,28
2078,紧,28
2079,宅,28
2080,个儿,28
2081,次,28
2082,无所,28
2083,匾,28
2084,伤感,28
2085,瓶,28
2086,细说,28
2087,靠,28
2088,椅子,28
2089,箸,28
2090,奇怪,28
2091,莫,28
2092,媳妇儿,28
2093,议论,28
2094,二三,28
2095,娘家,28
2096,从今,28
2097,虚,28
2098,初,28
2099,屏,28
2100,皮,28
2101,百般,28
2102,只求,28
2103,亏了,28
2104,尤氏笑,28
2105,欺负,28
2106,院里,28
2107,怕人,28
2108,暗,28
2109,针,28
2110,脉,28
2111,痛哭,28
2112,有钱,28
2113,汗巾,28
2114,恩典,28
2115,贵妃,28
2116,左右,28
2117,限,28
2118,人们,28
2119,忍,28
2120,桌子,28
2121,伶俐,28
2122,盒子,28
2123,栊,28
2124,尤老娘,28
2125,背,27
2126,经过,27
2127,性情,27
2128,末,27
2129,天地,27
2130,取出,27
2131,玩耍,27
2132,怀,27
2133,人口,27
2134,前面,27
2135,影,27
2136,感,27
2137,何等,27
2138,不小,27
2139,开眼,27
2140,弱,27
2141,过于,27
2142,休,27
2143,之外,27
2144,上好,27
2145,家务,27
2146,盘,27
2147,快别,27
2148,妾,27
2149,褥,27
2150,进门,27
2151,如意,27
2152,几处,27
2153,生事,27
2154,一只,27
2155,幸,27
2156,终身,27
2157,黑,27
2158,央告,27
2159,那位,27
2160,从没,27
2161,赶上,27
2162,不绝,27
2163,饮食,27
2164,粥,27
2165,见外,27
2166,要死,27
2167,出事,27
2168,还怕,27
2169,忒,27
2170,往下,27
2171,玩意儿,27
2172,劝解,27
2173,由不得,27
2174,镜子,27
2175,监,27
2176,贾政笑,27
2177,赎,27
2178,拦住,27
2179,摸不着,27
2180,造次,27
2181,函,27
2182,彩屏,27
2183,当铺,27
2184,旨意,27
2185,李十儿,27
2186,生得,26
2187,分明,26
2188,其中,26
2189,曰,26
2190,轩,26
2191,造,26
2192,手中,26
2193,田地,26
2194,帐,26
2195,人命,26
2196,海,26
2197,抓,26
2198,千万,26
2199,两家,26
2200,牙,26
2201,路上,26
2202,操,26
2203,出入,26
2204,容,26
2205,凤姐姐,26
2206,颦,26
2207,王子,26
2208,感激,26
2209,脸面,26
2210,深知,26
2211,保,26
2212,其实,26
2213,不妥,26
2214,巳,26
2215,合家,26
2216,镜,26
2217,树,26
2218,精,26
2219,耳,26
2220,二老,26
2221,吵,26
2222,敢言,26
2223,一会儿,26
2224,暖,26
2225,两三个,26
2226,撒谎,26
2227,碟子,26
2228,专,26
2229,相好,26
2230,调唆,26
2231,没法儿,26
2232,一个月,26
2233,胆子,26
2234,扇,26
2235,安心,26
2236,拉扯,26
2237,没要,26
2238,就算,26
2239,拈,26
2240,算是,26
2241,不留,26
2242,一块儿,26
2243,块儿,26
2244,古怪,26
2245,亲事,26
2246,女尼,26
2247,悔,25
2248,自来,25
2249,件,25
2250,君,25
2251,子弟,25
2252,写出,25
2253,甚至,25
2254,老先生,25
2255,每每,25
2256,顾,25
2257,几乎,25
2258,场,25
2259,名唤,25
2260,身边,25
2261,孝顺,25
2262,卧,25
2263,死去,25
2264,怔,25
2265,荣国府,25
2266,杏,25
2267,可有,25
2268,国公,25
2269,人不知,25
2270,现今,25
2271,此刻,25
2272,舅,25
2273,不开,25
2274,舅母,25
2275,形容,25
2276,平安,25
2277,攒,25
2278,连日,25
2279,炕沿,25
2280,怒,25
2281,官司,25
2282,签,25
2283,三百,25
2284,胭脂,25
2285,死活,25
2286,妥,25
2287,看守,25
2288,梨,25
2289,胜,25
2290,狗,25
2291,先去,25
2292,内中,25
2293,院子,25
2294,迎出,25
2295,家常,25
2296,二十两,25
2297,芙蓉,25
2298,智能,25
2299,饿,25
2300,扫,25
2301,说闲话,25
2302,一套,25
2303,方子,25
2304,好个,25
2305,故此,25
2306,分派,25
2307,张家,25
2308,番,25
2309,佳,25
2310,贾政又,25
2311,稻香,25
2312,一发,25
2313,佩,25
2314,鞋,25
2315,雀儿,25
2316,婆,25
2317,心肠,25
2318,下子,25
2319,螃蟹,25
2320,向来,25
2321,见识,24
2322,无益,24
2323,袖,24
2324,身后,24
2325,男女,24
2326,竹,24
2327,英,24
2328,游,24
2329,对联,24
2330,足,24
2331,腰,24
2332,厚,24
2333,主人,24
2334,邀,24
2335,一席,24
2336,占,24
2337,鼓,24
2338,木,24
2339,后日,24
2340,痛,24
2341,迎上,24
2342,不定,24
2343,以来,24
2344,林家,24
2345,教训,24
2346,不通,24
2347,皇上,24
2348,祖母,24
2349,邪,24
2350,法,24
2351,正月,24
2352,既有,24
2353,关了,24
2354,面有,24
2355,二日,24
2356,何况,24
2357,解劝,24
2358,不一,24
2359,第三,24
2360,怎,24
2361,货,24
2362,打扫,24
2363,备下,24
2364,再三,24
2365,读,24
2366,绫,24
2367,私,24
2368,珍珠,24
2369,伙计,24
2370,渐,24
2371,中人,24
2372,扭,24
2373,早饭,24
2374,微笑,24
2375,含笑,24
2376,散去,24
2377,一言,24
2378,垂,24
2379,老实,24
2380,当家,24
2381,毡,24
2382,几样,24
2383,一家子,24
2384,三天,24
2385,捶,24
2386,惦记着,24
2387,乐得,24
2388,十三,24
2389,笔,24
2390,懒,24
2391,一动,24
2392,多着呢,24
2393,上车,24
2394,气儿,24
2395,府上,24
2396,一班,24
2397,耶,24
2398,私自,24
2399,娶亲,24
2400,咽,24
2401,体统,24
2402,拌嘴,24
2403,旨,24
2404,顺着,24
2405,贾母王,24
2406,送给,24
2407,两声,24
2408,真心,24
2409,耗子,24
2410,娼妇,24
2411,没看,24
2412,听到,24
2413,残,24
2414,走上,24
2415,闹起来,24
2416,祖,23
2417,一遭,23
2418,以及,23
2419,意欲,23
2420,二件,23
2421,艳,23
2422,力,23
2423,莲,23
2424,号,23
2425,来作,23
2426,正好,23
2427,两次,23
2428,节,23
2429,性命,23
2430,出家,23
2431,十六,23
2432,宁国府,23
2433,异常,23
2434,一所,23
2435,蹲,23
2436,吃药,23
2437,拭泪,23
2438,东边,23
2439,一溜,23
2440,左,23
2441,裁,23
2442,拾,23
2443,王子腾,23
2444,十八,23
2445,儿女,23
2446,何尝,23
2447,胡乱,23
2448,种,23
2449,九,23
2450,忙乱,23
2451,自此,23
2452,亲近,23
2453,射,23
2454,船,23
2455,摇,23
2456,此处,23
2457,宿,23
2458,生来,23
2459,楼,23
2460,俏,23
2461,王家,23
2462,日间,23
2463,嗔,23
2464,二姑,23
2465,宁可,23
2466,念佛,23
2467,两眼,23
2468,走走,23
2469,成日,23
2470,鸾,23
2471,那块,23
2472,烫,23
2473,关,23
2474,懒怠,23
2475,情愿,23
2476,果真,23
2477,睁眼,23
2478,得有,23
2479,哪,23
2480,齐全,23
2481,说好,23
2482,该死,23
2483,取乐,23
2484,瞧见,23
2485,马道,23
2486,马道婆,23
2487,张道士,23
2488,痕,23
2489,粗,23
2490,目,22
2491,一道,22
2492,属,22
2493,一段,22
2494,淫,22
2495,世人,22
2496,绛,22
2497,一生,22
2498,为何,22
2499,一身,22
2500,解闷,22
2501,圆,22
2502,步,22
2503,半夜,22
2504,何如,22
2505,官儿,22
2506,助,22
2507,小小,22
2508,国,22
2509,之中,22
2510,减,22
2511,标致,22
2512,五个,22
2513,止住,22
2514,得来,22
2515,几岁,22
2516,玻璃,22
2517,堆,22
2518,垂手,22
2519,丝,22
2520,松,22
2521,审,22
2522,贾政便,22
2523,音,22
2524,证,22
2525,调,22
2526,累,22
2527,细问,22
2528,飞红,22
2529,终是,22
2530,硬,22
2531,方知,22
2532,匣子,22
2533,费心,22
2534,早就,22
2535,一包,22
2536,阳,22
2537,声音,22
2538,没良心,22
2539,腿,22
2540,逛,22
2541,撵出,22
2542,发出,22
2543,夜间,22
2544,前后,22
2545,眼圈,22
2546,再过,22
2547,怀里,22
2548,搬,22
2549,家伙,22
2550,五日,22
2551,才刚,22
2552,吓了一跳,22
2553,探,22
2554,挽,22
2555,无言,22
2556,龄,22
2557,上屋,22
2558,出气,22
2559,沾,22
2560,懂得,22
2561,风声,22
2562,二姨,22
2563,主上,22
2564,闺阁,21
2565,独自,21
2566,登,21
2567,现有,21
2568,游玩,21
2569,霞,21
2570,体,21
2571,岂不是,21
2572,一座,21
2573,恕,21
2574,嗽,21
2575,回避,21
2576,并未,21
2577,医,21
2578,露出,21
2579,若要,21
2580,歌,21
2581,移,21
2582,役,21
2583,城外,21
2584,祖父,21
2585,生在,21
2586,制,21
2587,举,21
2588,清净,21
2589,孙,21
2590,目今,21
2591,央,21
2592,搂,21
2593,舍不得,21
2594,一群,21
2595,横,21
2596,李氏,21
2597,无故,21
2598,太多,21
2599,顺,21
2600,冯,21
2601,卷,21
2602,一千,21
2603,节度,21
2604,孤,21
2605,采,21
2606,奔,21
2607,香院,21
2608,贾宝玉,21
2609,曲,21
2610,贾母房,21
2611,衾,21
2612,随着,21
2613,首,21
2614,十二个,21
2615,册子,21
2616,见得,21
2617,无情,21
2618,自觉,21
2619,等到,21
2620,本事,21
2621,眼儿,21
2622,盒,21
2623,洒,21
2624,示,21
2625,影儿,21
2626,道谢,21
2627,不相干,21
2628,你家,21
2629,不大好,21
2630,这点,21
2631,焦,21
2632,看戏,21
2633,搅,21
2634,换衣,21
2635,一色,21
2636,八个,21
2637,性子,21
2638,往常,21
2639,没来,21
2640,闷闷,21
2641,揭,21
2642,压,21
2643,别管,21
2644,不拘,21
2645,大妹,21
2646,一个个,21
2647,这时候,21
2648,眼圈儿,21
2649,圈儿,21
2650,不多时,21
2651,摆上,21
2652,怪不得,21
2653,慌张,21
2654,背着,21
2655,害怕,21
2656,浑身,21
2657,穿衣,21
2658,眼见,21
2659,千两,21
2660,不论,21
2661,大姑,21
2662,省亲,21
2663,迷,21
2664,禁不住,21
2665,呜咽,21
2666,含泪,21
2667,检,21
2668,再有,21
2669,得主,21
2670,贾琏便,21
2671,猴儿,21
2672,坟,21
2673,彩霞,21
2674,心疼,21
2675,姨奶奶,21
2676,得出,21
2677,口儿,21
2678,疑心,21
2679,诗社,21
2680,姨儿,21
2681,乡,20
2682,访,20
2683,套,20
2684,赋,20
2685,冤家,20
2686,缘,20
2687,太虚,20
2688,暂,20
2689,啼哭,20
2690,人生,20
2691,长叹,20
2692,至此,20
2693,不早,20
2694,荐,20
2695,之家,20
2696,奈何,20
2697,线,20
2698,外孙,20
2699,侯,20
2700,亡,20
2701,身体,20
2702,西,20
2703,自幼,20
2704,大年,20
2705,十几,20
2706,衔,20
2707,请教,20
2708,致,20
2709,人情,20
2710,败,20
2711,举止,20
2712,存,20
2713,尝,20
2714,侍立,20
2715,裙,20
2716,厮,20
2717,不胜,20
2718,一双,20
2719,陈设,20
2720,沿上,20
2721,房屋,20
2722,盼,20
2723,三分,20
2724,之类,20
2725,一眼,20
2726,小时,20
2727,王府,20
2728,林黛玉,20
2729,前去,20
2730,披,20
2731,几百,20
2732,围,20
2733,咏,20
2734,金玉,20
2735,珠儿,20
2736,汗,20
2737,走动,20
2738,说不得,20
2739,年老,20
2740,雇,20
2741,事儿,20
2742,西都,20
2743,搀,20
2744,常来,20
2745,一桌,20
2746,水月庵,20
2747,传出,20
2748,捆,20
2749,看视,20
2750,詹,20
2751,近前,20
2752,碧,20
2753,好日子,20
2754,在手,20
2755,头脑,20
2756,勤,20
2757,沉,20
2758,几位,20
2759,看起,20
2760,半个,20
2761,山坡,20
2762,翻身,20
2763,刚要,20
2764,爬起,20
2765,不迟,20
2766,要求,20
2767,使用,20
2768,顾不得,20
2769,稻香村,20
2770,声道,20
2771,更是,20
2772,覆,20
2773,剪,20
2774,小太监,20
2775,焚,20
2776,浪,20
2777,去处,20
2778,始,20
2779,簪,20
2780,妖,20
2781,好象,20
2782,落泪,20
2783,伴,20
2784,喊,20
2785,比如,20
2786,旧年,20
2787,耽,20
2788,壶,20
2789,想要,20
2790,看家,20
2791,阶,19
2792,庭,19
2793,何妨,19
2794,故事,19
2795,算不得,19
2796,拨,19
2797,城,19
2798,倦,19
2799,机会,19
2800,胎,19
2801,奶,19
2802,整,19
2803,掐,19
2804,先是,19
2805,速,19
2806,那天,19
2807,息,19
2808,好吃,19
2809,拐,19
2810,世上,19
2811,糊,19
2812,当作,19
2813,喝道,19
2814,唬得,19
2815,奉承,19
2816,面上,19
2817,积,19
2818,学生,19
2819,理家,19
2820,家事,19
2821,初一,19
2822,掀,19
2823,态,19
2824,薄,19
2825,卿,19
2826,必得,19
2827,写字,19
2828,杯酒,19
2829,道喜,19
2830,之言,19
2831,续,19
2832,不远,19
2833,奶妈,19
2834,五六,19
2835,劝慰,19
2836,项,19
2837,顶,19
2838,宴,19
2839,绸,19
2840,极好,19
2841,生出,19
2842,右,19
2843,泪痕,19
2844,居住,19
2845,侍,19
2846,一向,19
2847,符,19
2848,坛,19
2849,不难,19
2850,家母,19
2851,执意,19
2852,子侄,19
2853,演,19
2854,一股,19
2855,打架,19
2856,册,19
2857,染,19
2858,依旧,19
2859,算了,19
2860,揖,19
2861,辈,19
2862,论理,19
2863,南,19
2864,傍边,19
2865,般的,19
2866,得闲,19
2867,带进,19
2868,抿着,19
2869,抿着嘴,19
2870,花样,19
2871,茜,19
2872,夸,19
2873,宝钗因,19
2874,缠,19
2875,口中,19
2876,不犯,19
2877,酸,19
2878,冻,19
2879,碰见,19
2880,双,19
2881,祟,19
2882,省事,19
2883,吆喝,19
2884,诊,19
2885,不时,19
2886,郡王,19
2887,收起,19
2888,炉,19
2889,阴阳,19
2890,允,19
2891,取去,19
2892,本家,19
2893,桥,19
2894,咒,19
2895,西去,19
2896,送殡,19
2897,爬,19
2898,聘,19
2899,为难,19
2900,消息,19
2901,睡不着,19
2902,一趟,19
2903,办理,19
2904,剑,19
2905,小道,19
2906,不合,19
2907,赶出,19
2908,绢,19
2909,哭泣,19
2910,验,19
2911,默默,19
2912,好听,19
2913,瞪,19
2914,一气,19
2915,舌头,19
2916,爷儿,19
2917,大凡,19
2918,好孩子,19
2919,倒把,19
2920,过不去,19
2921,点心,19
2922,两样,19
2923,买卖,19
2924,真个,19
2925,邢岫烟,19
2926,尤三姐,19
2927,何人,18
2928,愧,18
2929,固,18
2930,昭,18
2931,贾雨村,18
2932,中间,18
2933,这块,18
2934,温柔,18
2935,来历,18
2936,易,18
2937,葫芦,18
2938,猛,18
2939,这人,18
2940,有此,18
2941,疾,18
2942,此言,18
2943,承望,18
2944,叹息,18
2945,乘,18
2946,免,18
2947,当了,18
2948,有限,18
2949,工课,18
2950,旧病,18
2951,座,18
2952,两句话,18
2953,平常,18
2954,恶,18
2955,未曾,18
2956,将军,18
2957,宗,18
2958,妹,18
2959,眉,18
2960,不伤,18
2961,仪门,18
2962,左边,18
2963,椅,18
2964,效,18
2965,贾母忙,18
2966,房舍,18
2967,人事,18
2968,想不起,18
2969,碍,18
2970,拿住,18
2971,并非,18
2972,七八,18
2973,齐整,18
2974,已定,18
2975,杂,18
2976,寂寞,18
2977,闲着,18
2978,自家,18
2979,母子,18
2980,千,18
2981,下流,18
2982,趣,18
2983,述,18
2984,出城,18
2985,白日,18
2986,逛去,18
2987,绕,18
2988,罗,18
2989,想头,18
2990,趁早,18
2991,宫里,18
2992,扯,18
2993,裹,18
2994,半碗,18
2995,寻死,18
2996,不当,18
2997,脖子,18
2998,可怜见,18
2999,自为,18
3000,揉,18
3001,正经事,18
3002,燕窝,18
3003,透,18
3004,无妨,18
3005,总是,18
3006,甚是,18
3007,少时,18
3008,这般光景,18
3009,更衣,18
3010,绵,18
3011,爬起来,18
3012,阁,18
3013,赵,18
3014,往上,18
3015,这么样,18
3016,六十,18
3017,做出,18
3018,棚,18
3019,谢恩,18
3020,不服,18
3021,吴,18
3022,议定,18
3023,池,18
3024,似乎,18
3025,笔砚,18
3026,滴下,18
3027,胡闹,18
3028,宝钗见,18
3029,教导,18
3030,赶到,18
3031,唱戏,18
3032,找到,18
3033,害臊,18
3034,洗手,18
3035,问候,18
3036,帐子,18
3037,坐起,18
3038,画儿,18
3039,随后,18
3040,前年,18
3041,橘,18
3042,麒麟,18
3043,脑袋,18
3044,名声,18
3045,亮,18
3046,王太医,18
3047,保不住,18
3048,中所,17
3049,提醒,17
3050,只用,17
3051,弃,17
3052,骨,17
3053,观,17
3054,灌,17
3055,日见,17
3056,今夜,17
3057,十九,17
3058,投,17
3059,夫妇,17
3060,卦,17
3061,赚,17
3062,不惯,17
3063,儿孙,17
3064,子孙,17
3065,口说,17
3066,埋,17
3067,靠着,17
3068,贪,17
3069,名叫,17
3070,泥,17
3071,朱,17
3072,月初,17
3073,几杯,17
3074,特来,17
3075,尽心,17
3076,三间,17
3077,正面,17
3078,抱住,17
3079,服药,17
3080,没得,17
3081,迎接,17
3082,含,17
3083,唇,17
3084,二嫂,17
3085,撤,17
3086,外甥,17
3087,位,17
3088,茶盘,17
3089,刀,17
3090,等过,17
3091,拘,17
3092,拐子,17
3093,动手,17
3094,人品,17
3095,一来,17
3096,看书,17
3097,学问,17
3098,填,17
3099,看下,17
3100,不堪,17
3101,豆,17
3102,二十个,17
3103,奶子,17
3104,几分,17
3105,一连,17
3106,别提,17
3107,喘,17
3108,呸,17
3109,身旁,17
3110,差使,17
3111,连个,17
3112,相公,17
3113,玫瑰,17
3114,央及,17
3115,下雪,17
3116,斗篷,17
3117,两杯,17
3118,听宝玉,17
3119,世兄,17
3120,丢开,17
3121,嚼,17
3122,肝,17
3123,尚有,17
3124,算计,17
3125,过头,17
3126,骑,17
3127,念头,17
3128,道儿,17
3129,世袭,17
3130,宣,17
3131,诰命,17
3132,大概,17
3133,尼,17
3134,滚,17
3135,帖子,17
3136,下处,17
3137,好话,17
3138,舒服,17
3139,谕,17
3140,那大,17
3141,作声,17
3142,鹤,17
3143,枝,17
3144,不配,17
3145,出嫁,17
3146,诉,17
3147,窗户,17
3148,泼,17
3149,欺,17
3150,几声,17
3151,活计,17
3152,找出,17
3153,姐儿们,17
3154,固然,17
3155,文官,17
3156,找不着,17
3157,八月,17
3158,小红道,17
3159,干娘,17
3160,叹气,17
3161,撂下,17
3162,要使,17
3163,向宝钗,17
3164,发怔,17
3165,叫来,17
3166,怔怔,17
3167,过日子,17
3168,告假,17
3169,一篇,17
3170,衙役,17
3171,技,16
3172,空空,16
3173,晓得,16
3174,第二件,16
3175,纵然,16
3176,呼,16
3177,抛,16
3178,吾,16
3179,幻境,16
3180,驾,16
3181,晚生,16
3182,走时,16
3183,日日,16
3184,难以,16
3185,不乐,16
3186,古今,16
3187,闭,16
3188,迎上来,16
3189,满口,16
3190,箱,16
3191,他人,16
3192,街上,16
3193,差人,16
3194,端的,16
3195,外孙女,16
3196,外孙女儿,16
3197,安顿,16
3198,担,16
3199,御史,16
3200,其意,16
3201,顺路,16
3202,花园,16
3203,去世,16
3204,男子,16
3205,功,16
3206,俊,16
3207,但凡,16
3208,回答,16
3209,元春,16
3210,劳,16
3211,选,16
3212,十七,16
3213,游廊,16
3214,台阶,16
3215,拜见,16
3216,脸儿,16
3217,略略,16
3218,宽,16
3219,鼎,16
3220,西边,16
3221,弹,16
3222,小名,16
3223,莫若,16
3224,厨,16
3225,拆,16
3226,白白,16
3227,日期,16
3228,十倍,16
3229,降,16
3230,局,16
