,词语,数量
1613,阿弥陀佛,38
1614,弥陀,38
1615,候,38
1616,东府,38
1617,偏偏,38
1618,抹,38
1619,倒好,38
1620,八,38
1621,一分,38
1622,回过,38
1623,诸事,38
1624,夜里,38
1625,史湘云,38
1626,辛苦,38
1627,孝,38
1628,奉,38
1629,不够,38
1630,蹄子,38
1631,编,38
1632,不算,38
1633,一事,37
1634,女子,37
1635,说来,37
1636,至于,37
1637,终,37
1638,金陵,37
1639,妻,37
1640,宫,37
1641,草,37
1642,后悔,37
1643,势,37
1644,孙女,37
1645,上学,37
1646,叙,37
1647,谁家,37
1648,奏,37
1649,职,37
1650,先前,37
1651,独有,37
1652,老嬷嬷,37
1653,炕,37
1654,院门,37
1655,不问,37
1656,为的是,37
1657,行事,37
1658,蕙,37
1659,银钱,37
1660,好事,37
1661,会意,37
1662,华,37
1663,拍,37
1664,答,37
1665,幸亏,37
1666,亲家,37
1667,不动,37
1668,一碗,37
1669,不用说,37
1670,血,37
1671,菜,37
1672,呆呆,37
1673,病着,37
1674,颜色,37
1675,阴,37
1676,日夜,36
1677,之人,36
1678,神仙,36
1679,久,36
1680,蒙,36
1681,斗,36
1682,我家,36
1683,昨夜,36
1684,值,36
1685,幸而,36
1686,禁,36
1687,粉,36
1688,巴不得,36
1689,那年,36
1690,盛,36
1691,家儿,36
1692,这位,36
1693,大嫂,36
1694,大嫂子,36
1695,化,36
1696,掉,36
1697,怨不得,36
1698,走过,36
1699,咳嗽,36
1700,点点,36
1701,差,36
1702,母女,36
1703,熟,36
1704,之间,36
1705,菩萨,36
1706,摇头,36
1707,爷爷,36
1708,帖,36
1709,当着,36
1710,有理,36
1711,可好,36
1712,院内,36
1713,行礼,36
1714,笑儿,36
1715,杀,36
1716,甄宝玉,36
1717,之处,35
1718,东,35
1719,好笑,35
1720,夺,35
1721,俗,35
1722,救,35
1723,锁,35
1724,参,35
1725,不似,35
1726,几次,35
1727,转过,35
1728,便宜,35
1729,南边,35
1730,无法,35
1731,蕊,35
1732,安歇,35
1733,没事,35
1734,模样儿,35
1735,倚,35
1736,静,35
1737,约,35
1738,禀,35
1739,不快,35
1740,三十,35
1741,去取,35
1742,吊,35
1743,平,35
1744,朋友,35
1745,几句话,35
1746,笑嘻嘻,35
1747,问好,35
1748,刻,35
1749,明年,35
1750,输,35
1751,着手,35
1752,好好儿,35
1753,人心,35
1754,撕,35
1755,留神,35
1756,办事,35
1757,没脸,35
1758,撒,35
1759,搜,35
1760,坠儿,35
1761,德,34
1762,僧,34
1763,微,34
1764,一种,34
1765,一干,34
1766,二位,34
1767,乃是,34
1768,献,34
1769,交,34
1770,女婿,34
1771,偶然,34
1772,想必,34
1773,未可知,34
1774,赞,34
1775,胡,34
1776,试,34
1777,漱,34
1778,留心,34
1779,自是,34
1780,悬,34
1781,房门,34
1782,满面,34
1783,李嬷嬷,34
1784,疑,34
1785,逼,34
1786,接过,34
1787,法子,34
1788,称,34
1789,手儿,34
1790,门里,34
1791,臊,34
1792,不防,34
1793,脾气,34
1794,翻,34
1795,贴,34
1796,一起,34
1797,定要,34
1798,这时,34
1799,净,34
1800,婆婆,34
1801,几时,34
1802,执事,34
1803,恰,34
1804,开门,34
1805,往日,34
1806,有心,34
1807,题目,34
1808,己,33
1809,大喜,33
1810,细看,33
1811,一副,33
1812,土,33
1813,三五,33
1814,不顾,33
1815,择,33
1816,不料,33
1817,是从,33
1818,争,33
1819,那黛玉,33
1820,相见,33
1821,庙里,33
1822,安静,33
1823,廊,33
1824,词,33
1825,登时,33
1826,姐们,33
1827,停,33
1828,十,33
1829,向宝玉,33
1830,灰,33
1831,纳闷,33
1832,个头,33
1833,信儿,33
